id,number,title,mergeCommit,changedFiles,changedPackages
MDExOlB1bGxSZXF1ZXN0MjA2ODEyMA==,45,Improve response time logging: show elapsed ms,43dfbf6963bcb5954d47fdaac86bb38c0c11cdbc,3,
MDExOlB1bGxSZXF1ZXN0MjA2ODIzMA==,46,Optimization: don't create a Date object just to get current time,89ce78d5b78d1a45f265667031e171fdb573a4b6,1,
MDExOlB1bGxSZXF1ZXN0MjA4MTc1Ng==,47,Associate log messages with the request that caused them,cec69e7b8dd11e716c7057bb99b1b4a4226d0622,2,
MDExOlB1bGxSZXF1ZXN0MjEyMjIzOA==,48,Clean up Server class a bit.,ddc6cdb50d8c3f61666da465c11fae1d4caecb1c,1,
MDExOlB1bGxSZXF1ZXN0MjIwNzc5NQ==,49,Pom cleanup.,02f8f8855ccc2265b08e800591783871bcc48b2b,7,
MDExOlB1bGxSZXF1ZXN0MjIxMjQ2NA==,50,Move QueueFile to 'io' package.,531c2b7171644b3151043409ac5d848e4d3ba98d,3,
MDExOlB1bGxSZXF1ZXN0MjIxMjg0Ng==,51,Eliminate barren 'core' module. Updates to other modules.,be7a24ca70882b1dd70b17df09b9659f153d1fcb,23,
MDExOlB1bGxSZXF1ZXN0MjIxMzk1MA==,52,Re-enable 'android' and 'io' tests. Switch to FEST.,2e9bb1295a310258781b5e50e7b045556e1da9c3,13,
MDExOlB1bGxSZXF1ZXN0MjIyMTY1Ng==,53,More FEST-isms.,632cc1c1a407ec138c6dc3abce72f1ace5aba4d2,4,
MDExOlB1bGxSZXF1ZXN0MjIyMjA1NQ==,54,Eliminate 'android' module.,09518f08bebd285795618ba720048cf4dd763db7,7,
MDExOlB1bGxSZXF1ZXN0MjIyMzczOA==,55,Bump to 0.7.0-SNAPSHOT.,c14ac9444efcd39b0478abde6aecdbd45c4859ec,26,
MDExOlB1bGxSZXF1ZXN0MjM1NzAwMw==,56,Remove web URL and ignore SSL boolean from Server.,91a159e47e2049aa21fad58936d61248f85ad60b,2,
MDExOlB1bGxSZXF1ZXN0MjQ0NTc5OQ==,58,Purge QueueFile.,52971d80831bec243b67e4bd166bc5c6f9ad4ea6,5,
MDExOlB1bGxSZXF1ZXN0MjUzNzQ5OQ==,59,Allows spaces to appear in path parameters.,7c4d80f22490e800bb529f5111e8971a2f424d7d,2,
MDExOlB1bGxSZXF1ZXN0MjU5NjMyOQ==,60,Use ServerError directly in sessionExpired and serverError.,bc52205a47f373f3783be11705497dcfc70cdaac,13,
MDExOlB1bGxSZXF1ZXN0MjYzOTUzNw==,61,Remove erroneous javadoc.,464c1470a7ab2f9a9b768dc36c9b3b56d9692215,1,
MDExOlB1bGxSZXF1ZXN0MjY0MDI2OA==,62,Abstract HTTP entity (de)serializaton to converters.,af6311e46f88eb924ceb5c17fc2d786ed5540275,12,
MDExOlB1bGxSZXF1ZXN0Mjc0NzI0Nw==,67,Remove `Fetcher`.,83582ea568267e3670ee17ca9e4af2e549f23d61,3,
MDExOlB1bGxSZXF1ZXN0Mjc0ODMzOQ==,68,Hide implementation detail UiCallback class in package scope.,7e1a561cae73747af80244e9acce491e4e92e8ad,1,
MDExOlB1bGxSZXF1ZXN0Mjc0ODkxMQ==,69,Remove support for implicit injection.,7be23dc7013d27d6ae15d9ef28682c870d7fe025,1,
MDExOlB1bGxSZXF1ZXN0Mjc1MDA4OA==,70,Introduce builder pattern to instantiate RestAdapter.,28cdbce8ba53d5050127606490ca32b990921957,8,
MDExOlB1bGxSZXF1ZXN0Mjc1MDU0Mw==,71,Move sample to examples folder to accommodate future additions.,15859c15387497aaf481b26a82947d4dc8bfbbcc,5,
MDExOlB1bGxSZXF1ZXN0Mjc1MTE5Nw==,72,Remove unused ServerException.,a40a150083c57eafd366ba826177f77604eddba3,1,
MDExOlB1bGxSZXF1ZXN0Mjc2MTgyOQ==,73,Upgrade FEST and Apache HTTP components dependencies.,167687b3a4a56009ec6c8759a978c808ea43c195,9,
MDExOlB1bGxSZXF1ZXN0Mjc2NzgzNg==,74,Support Synchronous Invocation,912c91213c1e05ba354da3bf456324b58d812f0d,14,
MDExOlB1bGxSZXF1ZXN0Mjc2Nzg1MA==,75,Remove unused ByteSink classes.,96a6d45c9e04521892895be1a060dd8c60edf395,2,
MDExOlB1bGxSZXF1ZXN0Mjc3NDM5MA==,77,Tweak RestAdapter documentation for accuracy.,a5659a36b80b52b04e0b7d3ba791e5904ca55db1,1,
