id,number,title,mergeCommit,changedFiles,changedPackages
MDExOlB1bGxSZXF1ZXN0NjI2MDE0MDE=,373,Fixes #365 Simplify the InvocationOnMock-API to get a casted argument,f2ec9da14192fa98f534dd8e01d4921fcc5c8c14,11,9.0
MDExOlB1bGxSZXF1ZXN0NjMzMjc3NzU=,376,Fix typo in example in javadoc.,1a6cf39232bb50bbca6f4a39d77cbe60b16dc0bf,1,1.0
MDExOlB1bGxSZXF1ZXN0NjMzMjg0MDA=,377,Remove duplication.,19ee92fb5ba7dbbc0f98e1e281be50f76522cef7,1,1.0
MDExOlB1bGxSZXF1ZXN0NjQxMjAyMDk=,380,"Fixes the issue #379 by removing previously verified invocations, some tests were added to verify that works",31c7876f0693a1335c8e41b340e8580aa9a510ae,4,1.0
MDExOlB1bGxSZXF1ZXN0NjQyNDY1OTc=,381,Fixes #312.  Added documentation in OngoingStubbing.thenThrow().,1e1e4a79cc251256d60f0e1d2dc6852e31ea6fcd,1,1.0
MDExOlB1bGxSZXF1ZXN0NjUwMzIwMDU=,382,correct package declaration of VerificationWithDescriptionTest,93e8f027a6f3f3d36327aeef79c61945615b05b3,1,2.0
MDExOlB1bGxSZXF1ZXN0NjU4OTA1MjU=,386,Remove deprecated code,66a7205945d201e01aa6043d5cfe1aa0ae08e622,15,11.0
MDExOlB1bGxSZXF1ZXN0NjU4OTI2Nzg=,388,Fixed OSGi metadata generation,27a375a94026430e7a799c53813be7721700426f,1,0.0
MDExOlB1bGxSZXF1ZXN0NjU5MDkxMTM=,389,Lazily verify without calling collector.verify(),ee4c012bbda510f5d733fcc8355c8bc94130189b,10,7.0
MDExOlB1bGxSZXF1ZXN0Njc2NDY5NDk=,404,Fixes #374 Removed deprecated classes and methods,dff5510cb3e97dae414e58ba85825ad01b273c72,47,24.0
MDExOlB1bGxSZXF1ZXN0NzAzMzk2MTM=,412,Fixed #407 Vararg method call on mock object fails,3da645d2d38e6be82bdcd2ee2bb7abf08deb74d9,3,2.0
MDExOlB1bGxSZXF1ZXN0NzA0MjI5NDk=,413,Fixed method name to verifyNoMoreInteractions,5b78104b2dc45788fecc3426625dedcce216a0f5,3,2.0
MDExOlB1bGxSZXF1ZXN0NzA5ODIyMzg=,419,BDDMockito: rename willNothing to willDoNothing,6eb50c2909eb10299437c659f2cc63c0a63b5f3e,1,1.0
MDExOlB1bGxSZXF1ZXN0NzIxMTM3NzE=,424,Inorder timeouts,f2c5d3a02d211ba96e99f3c93133adac1df60f64,6,5.0
MDExOlB1bGxSZXF1ZXN0NzM0NjgzNjc=,427,Refactored class Reporter to a static utillity,c138d2ca7b7e685a63062b403629cc11a88c7d37,63,26.0
MDExOlB1bGxSZXF1ZXN0NzM1Mzg2MzY=,429,Added default answer for java.util.stream.Stream,79df116269dbd66ede2754531dd283898f8d02b1,3,2.0
MDExOlB1bGxSZXF1ZXN0NzM4MDIxNTk=,431,Fixes #426 Dropped class HandyReturnValues,97c5a4f5e6e87a4b20d9a4fb4e09f9b89f113f3a,17,7.0
MDExOlB1bGxSZXF1ZXN0NzM5MDc1OTk=,432,Fixes #426 Refactored InvocationMarker to a static utility class,3c4edc6b49ce4a30dcaf00a78cf014c245f2eefa,10,3.0
MDExOlB1bGxSZXF1ZXN0NzQwMDA5MDc=,434,Very tiny typo.,d0baeb43aaf7532c78acaf16a9baa6e16c7e0d93,1,1.0
MDExOlB1bGxSZXF1ZXN0NzQzNDAwMTU=,436,Clean up issues reported by IntelliJ,65ca49519a12d086e97eb24306127cb03d97ad40,75,37.0
MDExOlB1bGxSZXF1ZXN0NzQzNjAyMzA=,441,delete ignored cglib related tests,713710f98e8e9b5acf938223fe5c7514c2aa7398,2,2.0
